post_title,ID,post_excerpt,post_status,post_date,post_author,discount_type,coupon_amount,individual_use,product_ids,product_SKUs,exclude_product_ids,exclude_product_SKUs,usage_count,usage_limit,usage_limit_per_user,limit_usage_to_x_items,date_expires,free_shipping,exclude_sale_items,product_categories,exclude_product_categories,minimum_amount,maximum_amount,customer_email,meta:apply_before_tax,meta:auto_generate_coupon,meta:coupon_generated_by,meta:coupon_title_prefix,meta:coupon_title_suffix,meta:description,meta:expiry_date,meta:is_pick_price_of_product,meta:sa_cbl_billing_locations,meta:sa_cbl_locations_lookup_in,meta:sa_cbl_shipping_locations,meta:sc_coupon_validity,meta:sc_disable_email_restriction,meta:sc_is_visible_storewide,meta:sc_restrict_to_new_user,meta:shareasale_wc_tracker_coupon_upload_enabled,meta:slide_template,meta:validity_suffix,meta:wc_coupon_message,meta:wc_email_message,meta:wc_sc_add_product_details,meta:wc_sc_auto_apply_coupon,meta:wc_sc_exclude_product_attribute_ids,meta:wc_sc_expiry_time,meta:wc_sc_max_discount,meta:wc_sc_payment_method_ids,meta:wc_sc_product_attribute_ids,meta:wc_sc_shipping_method_ids,meta:wc_sc_user_role_ids
car5-odel-9rvl,276601,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a9m-ojne-lhnd,276602,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neib-twck-m18k,276603,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r4b4-n7w7-2euu,276604,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3nxf-hcf3-qts3,276605,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbho-oqhy-wmuy,276606,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xse8-nfer-jbhr,276607,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lbnf-22p9-ixge,276608,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sxc4-gbuc-kv9e,276609,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84zv-p8fj-7emz,276610,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqyt-46zz-vadh,276611,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hjds-oxgw-39ps,276612,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cp4j-ztsx-nxlv,276613,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grwy-5afo-kidf,276614,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365i-4wh9-941z,276615,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tgqn-xpzp-1tn8,276616,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grzq-og8i-cqda,276617,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2ep-6wdj-x9lm,276618,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vpga-gyxt-8omy,276619,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6p0s-hkbg-ofqu,276620,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyoh-mves-o0wu,276621,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
